Date,Open,High,Low,Close,Adj Close,Volume
2021-04-14,45.799999,47.290001,45.619999,46.619999,46.619999,1450100
2021-04-15,46.990002,47.590000,45.900002,47.290001,47.290001,1368200
2021-04-16,47.740002,48.150002,47.290001,47.799999,47.799999,938400
2021-04-19,47.770000,48.310001,47.240002,47.549999,47.549999,954700
2021-04-20,47.209999,48.099998,45.810001,46.720001,46.720001,1261300
2021-04-21,46.480000,49.189999,46.049999,49.090000,49.090000,1109700
2021-04-22,49.119999,50.560001,48.840000,49.009998,49.009998,955300
2021-04-23,49.009998,49.470001,48.270000,48.689999,48.689999,760300
2021-04-26,49.000000,49.169998,47.450001,47.950001,47.950001,2858100
2021-04-27,48.230000,49.930000,47.759998,49.040001,49.040001,2598300
2021-04-28,45.400002,49.049999,44.000000,47.910000,47.910000,2552000
2021-04-29,48.990002,50.070000,48.000000,48.509998,48.509998,2007000
2021-04-30,48.230000,48.720001,46.549999,46.980000,46.980000,1725000
2021-05-03,47.389999,47.430000,45.180000,45.500000,45.500000,1714300
2021-05-04,45.000000,45.259998,43.500000,44.290001,44.290001,1562300
2021-05-05,44.439999,44.509998,43.180000,43.360001,43.360001,988600
2021-05-06,43.410000,44.200001,42.180000,44.070000,44.070000,1366200
2021-05-07,44.070000,44.860001,43.680000,44.529999,44.529999,1026500
2021-05-10,44.610001,44.610001,43.119999,43.150002,43.150002,1112000
2021-05-11,42.250000,43.910000,41.889999,43.680000,43.680000,1005600
2021-05-12,43.299999,43.720001,40.889999,41.209999,41.209999,1246600
2021-05-13,41.599998,43.110001,41.180000,41.980000,41.980000,1395800
2021-05-14,42.500000,43.880001,42.279999,43.529999,43.529999,1382500
2021-05-17,42.950001,43.090000,41.500000,42.549999,42.549999,2073900
2021-05-18,43.009998,43.930000,42.799999,42.860001,42.860001,1275400
2021-05-19,41.830002,42.380001,41.139999,41.709999,41.709999,1670000
2021-05-20,41.810001,41.900002,40.900002,41.520000,41.520000,1192900
2021-05-21,42.820000,43.939999,42.439999,43.669998,43.669998,2806700
2021-05-24,44.209999,44.619999,43.450001,43.900002,43.900002,1662600
2021-05-25,44.250000,45.009998,43.270000,43.299999,43.299999,1045700
2021-05-26,43.500000,43.849998,43.270000,43.590000,43.590000,1658400
2021-05-27,44.200001,45.080002,43.680000,44.889999,44.889999,1856900
2021-05-28,44.750000,45.619999,44.560001,45.430000,45.430000,1041400
2021-06-01,46.180000,46.619999,45.759998,46.369999,46.369999,1346700
2021-06-02,46.000000,46.660000,45.580002,46.459999,46.459999,1387800
2021-06-03,46.250000,46.560001,45.279999,46.419998,46.419998,1431500
2021-06-04,46.900002,47.060001,45.830002,45.930000,45.930000,1115300
2021-06-07,46.009998,47.500000,45.799999,47.419998,47.419998,1227300
2021-06-08,47.610001,47.610001,45.700001,46.060001,46.060001,1805100
2021-06-09,46.060001,46.060001,44.029999,44.070000,44.070000,1783700
2021-06-10,44.250000,44.310001,42.459999,42.990002,42.990002,1895100
2021-06-11,43.299999,43.610001,42.639999,43.270000,43.270000,1610700
2021-06-14,43.060001,44.270000,42.560001,43.669998,43.669998,1331300
2021-06-15,43.830002,44.049999,43.049999,43.270000,43.270000,811500
2021-06-16,43.270000,43.610001,42.639999,43.459999,43.459999,1035600
2021-06-17,43.430000,43.700001,41.430000,42.230000,42.230000,1582100
2021-06-18,41.730000,42.680000,41.439999,42.549999,42.549999,1434000
2021-06-21,43.299999,44.790001,43.110001,44.270000,44.270000,1993200
2021-06-22,44.099998,44.509998,43.040001,44.270000,44.270000,2008300
2021-06-23,44.770000,44.900002,44.220001,44.430000,44.430000,1217300
2021-06-24,44.750000,44.799999,43.529999,43.939999,43.939999,1015600
2021-06-25,43.820000,44.900002,43.470001,44.849998,44.849998,2093500
2021-06-28,44.610001,44.660000,41.740002,42.439999,42.439999,2498800
2021-06-29,42.000000,43.040001,41.770000,42.270000,42.270000,1126500
2021-06-30,42.250000,43.450001,42.250000,43.279999,43.279999,1090400
2021-07-01,43.669998,44.470001,43.380001,43.849998,43.849998,1064900
2021-07-02,43.709999,43.910000,43.389999,43.689999,43.689999,490800
2021-07-06,43.540001,43.880001,42.029999,42.099998,42.099998,1278400
2021-07-07,41.750000,42.369999,40.580002,41.029999,41.029999,904900
2021-07-08,40.200001,41.029999,39.610001,40.119999,40.119999,2053200
2021-07-09,40.639999,41.910000,40.459999,41.770000,41.770000,1870500
2021-07-12,41.150002,42.299999,40.720001,42.230000,42.230000,1043000
2021-07-13,41.570000,41.820000,40.720001,40.750000,40.750000,922300
2021-07-14,40.880001,41.779999,40.110001,40.310001,40.310001,648700
2021-07-15,40.049999,40.689999,39.700001,40.599998,40.599998,1239300
2021-07-16,41.330002,41.330002,39.720001,39.740002,39.740002,2459300
2021-07-19,37.299999,37.849998,35.750000,36.349998,36.349998,3455700
2021-07-20,36.650002,39.490002,36.250000,39.259998,39.259998,1498400
2021-07-21,39.619999,41.220001,39.410000,41.119999,41.119999,1597100
2021-07-22,40.630001,41.000000,39.759998,40.320000,40.320000,886400
2021-07-23,40.630001,41.099998,40.020000,40.220001,40.220001,1026300
2021-07-26,41.490002,42.410000,40.810001,42.400002,42.400002,1396000
2021-07-27,41.939999,42.779999,41.410000,42.060001,42.060001,2444700
2021-07-28,44.689999,45.419998,40.110001,42.169998,42.169998,4169700
2021-07-29,43.099998,44.200001,42.410000,42.750000,42.750000,1538100
2021-07-30,42.549999,43.060001,41.099998,41.549999,41.549999,1460100
2021-08-02,41.730000,43.240002,41.160000,41.360001,41.360001,920300
2021-08-03,41.259998,41.509998,39.250000,40.349998,40.349998,1337600
2021-08-04,39.610001,40.290001,38.700001,38.759998,38.759998,1611800
2021-08-05,39.279999,41.830002,39.200001,41.730000,41.730000,1928600
2021-08-06,42.110001,42.689999,41.400002,41.810001,41.810001,979200
2021-08-09,41.340000,41.619999,40.020000,40.779999,40.779999,1007900
2021-08-10,40.720001,41.730000,40.209999,41.509998,41.509998,1144500
2021-08-11,41.619999,43.080002,40.950001,42.980000,42.980000,1112100
2021-08-12,42.860001,43.240002,41.939999,42.779999,42.779999,1382400
2021-08-13,42.990002,43.560001,42.389999,42.860001,42.860001,766900
2021-08-16,42.410000,42.480000,41.389999,41.740002,41.740002,660400
2021-08-17,40.980000,41.049999,39.730000,39.919998,39.919998,2094200
2021-08-18,39.830002,40.200001,38.509998,38.700001,38.700001,2893300
2021-08-19,38.470001,38.900002,37.189999,38.029999,38.029999,1869700
2021-08-20,37.930000,39.320000,37.700001,39.040001,39.040001,1053200
2021-08-23,39.990002,41.580002,39.770000,40.020000,40.020000,1283000
2021-08-24,40.830002,42.830002,40.830002,42.500000,42.500000,1922300
2021-08-25,42.450001,43.360001,42.020000,42.820000,42.820000,1382200
2021-08-26,42.360001,42.919998,41.259998,41.520000,41.520000,1246200
2021-08-27,41.700001,42.860001,41.430000,42.410000,42.410000,853400
2021-08-30,42.410000,42.630001,41.689999,42.180000,42.180000,993400
2021-08-31,41.990002,42.950001,41.580002,42.240002,42.240002,1925200
2021-09-01,42.279999,42.349998,41.320000,41.639999,41.639999,1235200
2021-09-02,41.610001,42.750000,41.220001,41.639999,41.639999,740100
2021-09-03,41.110001,41.570000,39.720001,40.160000,40.160000,1316600
2021-09-07,40.000000,41.669998,39.869999,41.189999,41.189999,2275100
2021-09-08,41.200001,41.450001,39.759998,40.570000,40.570000,1395200
